date,hour,temp,humidity,wind_speed,weather,dayofweek
20170126,20,8,71,7.2,1,4
20170126,21,6,76,7.2,1,4
20170126,22,7,81,7.2,1,4
20170126,23,7,81,21.6,1,4
20170127,8,6,93,10.8,4,5
20170127,9,8,81,25.2,1,5
20170127,10,8,81,25.2,1,5
20170127,11,10,71,28.8,1,5
20170127,12,10,66,21.6,1,5
20170127,13,9,66,28.8,1,5
20170127,14,9,62,25.2,1,5
20170127,15,9,62,21.6,1,5
20170127,16,9,62,21.6,1,5
20170127,17,8,66,18.0,1,5
20170127,18,8,66,18.0,1,5
20170127,19,7,66,14.4,1,5
20170127,20,7,66,7.2,1,5
20170127,21,7,66,14.4,1,5
20170127,22,7,66,10.8,1,5
20170127,23,6,76,10.8,1,5
20170128,8,8,81,10.8,1,6
20170128,9,10,71,14.4,1,6
20170128,10,11,71,18.0,1,6
20170128,11,12,72,18.0,1,6
20170128,12,14,63,28.8,1,6
20170128,13,14,63,25.2,1,6
20170128,14,15,59,21.6,1,6
20170128,15,15,63,25.2,1,6
20170128,16,14,67,25.2,1,6
20170128,17,14,67,18.0,1,6
20170128,18,12,77,21.6,1,6
20170128,19,12,82,18.0,1,6
20170128,20,12,82,21.6,1,6
20170128,21,12,88,21.6,1,6
20170128,22,11,94,14.4,1,6
20170128,23,11,94,18.0,1,6
20170129,8,11,100,7.2,4,7
20170129,9,14,82,7.2,4,7
20170129,10,17,68,10.8,1,7
20170129,11,20,60,10.8,1,7
20170129,12,22,53,14.4,1,7
20170129,13,23,50,21.6,1,7
20170129,14,22,46,21.6,1,7
20170129,15,21,46,18.0,1,7
20170129,16,18,56,25.2,5,7
20170129,17,15,67,25.2,5,7
20170129,18,14,72,28.8,5,7
20170129,19,12,77,32.4,4,7
20170129,20,11,76,32.4,1,7
20170129,21,9,87,36.0,2,7
20170129,22,8,93,28.8,2,7
20170129,23,7,93,28.8,2,7
20170130,8,3,70,25.2,1,1
20170130,9,3,70,25.2,1,1
20170130,10,4,65,25.2,1,1
20170130,11,4,61,21.6,1,1
20170130,12,4,61,28.8,1,1
20170130,13,4,52,32.4,1,1
20170130,14,6,49,28.8,1,1
20170130,15,4,52,25.2,1,1
20170130,16,4,52,25.2,1,1
20170130,17,3,52,28.8,1,1
20170130,18,3,52,21.6,1,1
20170130,19,2,60,21.6,1,1
20170130,20,2,56,18.0,1,1
20170130,21,2,60,14.4,1,1
20170130,22,2,60,14.4,1,1
20170130,23,2,60,18.0,1,1
20170131,8,3,56,10.8,1,2
20170131,9,4,56,7.2,1,2
20170131,10,4,56,7.2,1,2
20170131,11,5,57,7.2,1,2
20170131,12,6,53,10.8,1,2
20170131,13,7,46,7.2,1,2
20170131,14,7,49,7.2,1,2
20170131,15,7,53,10.8,1,2
20170131,16,7,49,14.4,1,2
20170131,17,6,53,10.8,1,2
20170131,18,5,61,14.4,1,2
20170131,19,5,57,10.8,1,2
20170131,20,5,61,14.4,1,2
20170131,21,5,65,10.8,1,2
20170131,22,5,65,7.2,1,2
20170131,23,5,65,7.2,1,2
20170201,8,4,75,14.4,1,3
20170201,9,5,70,21.6,1,3
20170201,10,5,76,18.0,1,3
20170201,11,6,66,21.6,1,3
20170201,12,5,70,18.0,1,3
20170201,13,5,65,18.0,1,3
20170201,14,5,61,25.2,1,3
20170201,15,5,65,21.6,1,3
20170201,16,5,65,21.6,1,3
20170201,17,5,65,18.0,1,3
20170201,18,5,65,18.0,1,3
20170201,19,3,75,10.8,1,3
20170201,20,3,75,14.4,1,3
20170201,21,3,70,10.8,1,3
20170201,22,3,70,10.8,1,3
20170201,23,2,81,7.2,1,3
20170202,8,3,75,7.2,1,4
20170202,9,5,61,14.4,1,4
20170202,10,6,53,10.8,1,4
20170202,11,7,53,10.8,1,4
20170202,12,9,46,10.8,1,4
20170202,13,8,50,10.8,1,4
20170202,14,9,46,10.8,1,4
20170202,15,8,50,14.4,1,4
20170202,16,7,57,14.4,1,4
20170202,17,7,57,14.4,1,4
20170202,18,6,61,14.4,1,4
20170202,19,5,65,14.4,1,4
20170202,20,5,65,10.8,1,4
20170202,21,5,65,10.8,1,4
20170202,22,5,70,3.6,1,4
20170202,23,5,76,7.2,1,4
20170203,8,8,71,14.4,1,5
20170203,9,8,76,10.8,1,5
20170203,10,8,81,7.2,2,5
20170203,11,8,81,10.8,1,5
20170203,12,9,82,10.8,1,5
20170203,13,9,82,10.8,1,5
